"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年8月12日","3,524.74","3,522.72","3,538.40","3,513.85","381.08K","-0.22%"
"2021年8月11日","3,532.62","3,527.11","3,544.09","3,524.04","38.38B","0.08%"
"2021年8月10日","3,529.93","3,488.66","3,529.93","3,477.06","34.51B","1.01%"
"2021年8月9日","3,494.63","3,441.75","3,502.84","3,438.70","34.99B","1.05%"
"2021年8月6日","3,458.23","3,465.48","3,466.39","3,436.93","33.68B","-0.24%"
"2021年8月5日","3,466.55","3,461.72","3,486.16","3,449.39","34.84B","-0.31%"
"2021年8月4日","3,477.22","3,442.94","3,477.60","3,440.78","34.87B","0.85%"
"2021年8月3日","3,447.99","3,446.78","3,470.66","3,435.46","40.07B","-0.47%"
"2021年8月2日","3,464.29","3,385.69","3,464.29","3,367.64","43.29B","1.97%"
"2021年7月30日","3,397.36","3,398.20","3,404.88","3,370.45","38.14B","-0.42%"
"2021年7月29日","3,411.72","3,403.84","3,416.61","3,382.57","34.46B","1.49%"
"2021年7月28日","3,361.59","3,355.82","3,385.54","3,312.72","39.58B","-0.58%"
"2021年7月27日","3,381.18","3,467.45","3,483.87","3,380.28","46.91B","-2.49%"
"2021年7月26日","3,467.44","3,538.01","3,538.01","3,424.74","44.29B","-2.34%"
"2021年7月23日","3,550.40","3,571.72","3,571.85","3,541.51","44.64B","-0.68%"
"2021年7月22日","3,574.73","3,563.66","3,576.47","3,558.29","38.11B","0.34%"
"2021年7月21日","3,562.66","3,543.05","3,569.09","3,543.05","33.90B","0.73%"
"2021年7月20日","3,536.79","3,515.07","3,538.64","3,509.19","29.38B","-0.07%"
"2021年7月19日","3,539.12","3,530.49","3,544.88","3,506.34","33.68B","-0.01%"
"2021年7月16日","3,539.30","3,559.53","3,566.00","3,537.73","36.60B","-0.71%"
"2021年7月15日","3,564.59","3,519.06","3,565.93","3,514.26","36.33B","1.02%"
"2021年7月14日","3,528.50","3,560.83","3,560.83","3,525.49","37.22B","-1.07%"
"2021年7月13日","3,566.52","3,547.59","3,567.48","3,542.82","36.24B","0.53%"
"2021年7月12日","3,547.84","3,545.20","3,565.03","3,527.39","40.36B","0.67%"
"2021年7月9日","3,524.09","3,512.23","3,529.31","3,485.05","34.99B","-0.04%"
"2021年7月8日","3,525.50","3,557.22","3,558.68","3,521.06","35.09B","-0.79%"
"2021年7月7日","3,553.72","3,508.59","3,557.88","3,504.47","31.88B","0.66%"
